passport_number,business_category,spending_category,spending_amount,tax_included,date_time,country,stay_duration_days,income_method,income_amount,currency
IN1552030,Restaurant,Accommodation,7344.059728824197,Yes,2024-04-21,India,74,Pension,4929.2488024009535,GBP
P87222522,Tourist Attraction,Food,7895.832194445277,No,2024-06-26,Japan,78,Savings,1573.274659994388,INR
P08646828,Hotel,Food,4773.288076105493,No,2024-02-09,Japan,38,Remote Job,1029.4606703824534,USD
P10666761,Restaurant,Food,5374.983500966513,No,2025-03-18,Japan,170,Savings,1532.700760899087,USD
IN6774861,Tourist Attraction,Entertainment,8556.053315894877,Yes,2025-01-20,India,176,Remote Job,1053.1306175103753,USD
IN7360948,Restaurant,Shopping,5619.24406174504,Yes,2024-11-29,India,76,Savings,3994.640042217767,CNY
P42927754,Shop,Entertainment,993.8314238726778,No,2024-08-25,Japan,57,Pension,1738.6972790937407,USD
USA8008923,Shop,Entertainment,8647.658168891116,Yes,2024-10-11,USA,23,Savings,1830.91447388907,INR
DE8030903,Shop,Entertainment,4674.080655233814,No,2024-09-17,Germany,122,Savings,2612.5264690466342,EUR
DE0724115,Restaurant,Shopping,5434.491911838169,No,2024-05-27,Germany,116,Freelance,1590.7410482840432,CNY
P09176852,Restaurant,Entertainment,4527.375338304202,Yes,2024-04-29,Australia,62,Freelance,4206.195978174434,EUR
USA2945562,Restaurant,Food,9444.849160748829,No,2025-01-18,USA,118,Freelance,4103.203200444108,JPY
P60494531,Shop,Entertainment,5012.797322301327,Yes,2025-03-12,Australia,12,Remote Job,2226.4643827241293,CNY
DE1401066,Restaurant,Entertainment,6707.081458264095,No,2024-11-16,Germany,59,Savings,4374.460148486694,JPY
P88928539,Restaurant,Entertainment,6941.589897364784,No,2024-08-21,Japan,110,Savings,4356.1562673896215,GBP
DE5300987,Hotel,Accommodation,3406.1427750160456,Yes,2024-12-31,Germany,131,Pension,4553.441243861587,JPY
USA8140853,Tourist Attraction,Food,1361.3814346126685,Yes,2024-06-09,USA,38,Savings,4434.374945895144,CNY
UK0434414,Hotel,Accommodation,5160.380819053531,No,2024-12-26,UK,75,Savings,1771.7369901531192,JPY
IN8411984,Tourist Attraction,Entertainment,2713.9765299702526,No,2025-02-25,India,22,Freelance,1065.4375206320274,JPY
DE1358943,Hotel,Entertainment,8166.89173117799,No,2024-03-13,Germany,64,Savings,3103.131809367047,CNY
P28429402,Hotel,Food,5298.882587028682,Yes,2025-01-28,Australia,24,Savings,1203.5297602235623,EUR
DE1550100,Tourist Attraction,Food,5814.538561035017,No,2024-05-05,Germany,17,Savings,1790.4126969933595,JPY
P83382440,Tourist Attraction,Entertainment,4508.157259029862,Yes,2024-03-10,Australia,175,Savings,2630.338200488014,JPY
P21369802,Hotel,Food,2506.4620521172747,Yes,2024-11-05,Japan,112,Pension,1362.9337614104943,INR
CN380156721,Shop,Entertainment,1971.7479432639,Yes,2024-01-16,China,3,Pension,2784.742603225141,INR
P98602296,Hotel,Accommodation,2795.484963695593,Yes,2024-02-03,Japan,132,Savings,4701.522059814225,USD
P28115446,Hotel,Shopping,1329.354497152583,Yes,2024-12-21,Japan,56,Pension,3233.6166570507908,GBP
CN301950158,Hotel,Food,2083.705530760827,Yes,2025-01-19,China,155,Savings,4552.905441157778,EUR
IN8746222,Tourist Attraction,Accommodation,3200.032985515541,No,2024-10-17,India,30,Savings,1880.8932351386647,EUR
DE6093872,Shop,Food,7125.301575242043,Yes,2024-04-19,Germany,55,Savings,1052.0845465289483,EUR
P24335436,Hotel,Entertainment,4664.2665380967765,Yes,2025-02-20,Japan,37,Savings,1901.1390470653157,EUR
CN265288735,Restaurant,Food,3469.5863746297496,No,2024-09-22,China,140,Pension,3988.7369707753096,GBP
DE5896618,Shop,Accommodation,4995.572621191159,Yes,2024-03-28,Germany,123,Freelance,2438.45290011667,USD
UK3675776,Shop,Food,4506.802367397577,Yes,2024-08-12,UK,160,Savings,4589.886801377191,JPY
P80771386,Shop,Food,6530.328656872187,Yes,2025-02-12,Japan,82,Remote Job,2687.8673066540914,USD
USA2041748,Tourist Attraction,Accommodation,8101.035439581163,No,2024-04-10,USA,116,Remote Job,4343.550780449674,GBP
DE9925036,Hotel,Accommodation,2209.6735550179465,Yes,2024-03-09,Germany,33,Freelance,4252.672354062917,JPY
P59450570,Restaurant,Entertainment,6999.083157785951,Yes,2024-02-03,Australia,20,Savings,4374.965295720154,AUD
USA9053429,Restaurant,Food,891.6764175845803,Yes,2024-09-11,USA,139,Savings,1034.8617740618886,EUR
CN590362065,Tourist Attraction,Accommodation,5682.054779415705,Yes,2024-10-05,China,165,Pension,3722.1116483700903,USD
UK5960049,Restaurant,Shopping,9453.808187979192,Yes,2025-04-09,UK,51,Freelance,3863.565906171736,USD
P83382440,Shop,Accommodation,1173.9909827451725,No,2024-06-19,Australia,175,Savings,2630.338200488014,JPY
CN068221203,Shop,Accommodation,1973.6271723772925,Yes,2024-01-30,China,78,Savings,2332.578423447978,JPY
IN3596674,Restaurant,Shopping,8160.516941574106,No,2024-09-27,India,12,Savings,3172.2917877543086,EUR
DE6816830,Shop,Shopping,2249.4129249737653,No,2024-08-10,Germany,93,Savings,2571.180438447459,EUR
UK3127653,Hotel,Entertainment,2479.390209192899,Yes,2024-07-29,UK,166,Freelance,4276.336122825512,USD
IN8159894,Tourist Attraction,Accommodation,9147.2398870138,No,2024-06-13,India,118,Savings,3301.263879437865,USD
DE9186526,Restaurant,Shopping,9839.294208366482,Yes,2024-01-19,Germany,58,Pension,1523.756280871424,AUD
USA8379762,Hotel,Entertainment,4807.012200909991,Yes,2024-11-22,USA,80,Freelance,2428.8625996400674,GBP
USA2243255,Shop,Accommodation,1488.0131348460293,No,2024-07-13,USA,133,Remote Job,4145.199845563988,GBP
USA8379762,Hotel,Entertainment,5573.301854638748,Yes,2024-09-21,USA,80,Freelance,2428.8625996400674,GBP
DE8595139,Shop,Shopping,4318.897804281742,Yes,2024-11-23,Germany,75,Savings,2188.0182516813857,CNY
DE4611080,Shop,Entertainment,1301.8980198469162,Yes,2025-03-06,Germany,155,Pension,4114.174971210844,EUR
UK4434606,Restaurant,Accommodation,3343.01002353074,Yes,2024-03-11,UK,177,Remote Job,1534.590201432777,INR
IN7628233,Tourist Attraction,Shopping,6592.160485443999,No,2025-04-03,India,180,Remote Job,1040.1125309233792,JPY
P27447621,Restaurant,Food,9181.024641015709,Yes,2024-09-24,Australia,99,Freelance,2697.2496606059367,AUD
CN439984289,Restaurant,Accommodation,5306.520805983593,Yes,2024-12-23,China,82,Pension,3995.3759667479744,AUD
UK8962462,Restaurant,Entertainment,1567.5755845862727,No,2025-02-21,UK,52,Remote Job,1645.2954365584897,USD
USA4718961,Restaurant,Entertainment,5800.941747769841,Yes,2024-03-16,USA,92,Pension,2068.6733838803148,JPY
DE9464502,Hotel,Accommodation,8377.286394153665,Yes,2025-01-17,Germany,23,Remote Job,2073.5232902510925,AUD
DE7207501,Shop,Food,611.3595485019374,Yes,2024-03-31,Germany,114,Freelance,4632.526781428158,USD
P58527478,Tourist Attraction,Accommodation,9125.143016289136,No,2024-04-25,Australia,104,Remote Job,4481.286876210889,CNY
IN8253924,Hotel,Entertainment,6457.702545379643,No,2025-02-26,India,15,Pension,3085.313453438337,GBP
DE2877962,Hotel,Entertainment,8345.881679154227,Yes,2024-10-23,Germany,58,Remote Job,4060.391018055555,INR
IN8294865,Restaurant,Food,2749.263405523546,Yes,2024-08-23,India,99,Freelance,2408.592247327433,GBP
USA9922585,Hotel,Entertainment,3410.894184288484,Yes,2024-04-22,USA,165,Savings,4455.525197555937,USD
UK4176198,Tourist Attraction,Shopping,3086.545499379547,Yes,2024-12-20,UK,87,Freelance,1999.850183358236,CNY
USA7341249,Hotel,Food,5920.215567111842,No,2024-01-16,USA,40,Savings,2930.650694550893,CNY
P43177910,Restaurant,Accommodation,9762.134495624336,Yes,2024-12-17,Australia,154,Remote Job,2257.0451041813467,GBP
P99452012,Shop,Food,505.4085849387151,No,2025-03-05,Australia,135,Remote Job,4432.163448493806,GBP
IN8856723,Tourist Attraction,Food,7797.235020351181,No,2024-10-16,India,97,Freelance,4155.706808488863,AUD
IN0616075,Shop,Food,8349.862672646665,Yes,2024-08-15,India,65,Remote Job,4518.1727707957525,USD
P46691767,Hotel,Accommodation,7305.675088528504,No,2024-11-27,Japan,58,Freelance,2810.3001940777804,CNY
P34280290,Tourist Attraction,Shopping,7926.090102630685,Yes,2024-08-26,Japan,149,Remote Job,2860.730920303724,USD
CN706591735,Hotel,Entertainment,8612.993681817143,Yes,2024-06-10,China,48,Remote Job,2851.594353139932,AUD
DE0097700,Hotel,Entertainment,2821.613760035279,Yes,2025-04-08,Germany,67,Remote Job,1408.8177530103874,EUR
P79332965,Hotel,Accommodation,2047.3315174474228,No,2024-10-17,Australia,74,Savings,4058.456186996608,USD
P18645039,Hotel,Shopping,2367.097896404929,Yes,2024-02-24,Japan,61,Remote Job,2862.3898844974574,EUR
UK6922440,Restaurant,Food,2120.483568323839,Yes,2024-06-06,UK,43,Remote Job,3860.3660916179456,USD
IN3158905,Hotel,Food,9777.704052657638,Yes,2024-03-25,India,37,Remote Job,4236.231722270868,JPY
P30021167,Tourist Attraction,Shopping,4851.542155961474,No,2024-07-15,Japan,66,Freelance,3038.160052675949,AUD
USA2039858,Shop,Entertainment,8948.959464372605,Yes,2024-03-15,USA,83,Remote Job,3183.302655807988,GBP
IN2616234,Tourist Attraction,Entertainment,3849.881539532425,No,2025-01-30,India,96,Pension,4373.709836816847,USD
P27249784,Restaurant,Shopping,8697.720600786248,No,2024-03-02,Australia,11,Savings,2537.7957902058142,GBP
USA3679903,Tourist Attraction,Accommodation,4918.170146659052,No,2024-12-06,USA,25,Remote Job,1770.1593518091695,EUR
IN5441608,Hotel,Shopping,3466.175712517267,Yes,2024-05-20,India,94,Savings,3973.910590489576,GBP
P44876593,Hotel,Shopping,3353.9138439907206,No,2024-12-10,Australia,13,Freelance,2066.6662805904334,CNY
DE4040379,Hotel,Shopping,7803.434068823334,Yes,2024-11-27,Germany,27,Savings,3399.2892862896183,AUD
DE3293342,Tourist Attraction,Food,3443.961592940679,Yes,2024-01-13,Germany,135,Pension,1686.025783950961,INR
DE2775109,Hotel,Accommodation,2709.8393056485183,Yes,2024-02-24,Germany,67,Remote Job,2989.5904184756328,USD
USA6223436,Restaurant,Accommodation,8381.741398569571,Yes,2024-05-19,USA,24,Freelance,1818.080287167158,USD
DE5896618,Hotel,Accommodation,7438.826372589637,No,2025-01-08,Germany,123,Freelance,2438.45290011667,USD
IN1835347,Shop,Food,2526.3586188719146,Yes,2024-05-05,India,171,Pension,1132.5857431208233,USD
P28555025,Restaurant,Accommodation,6646.668837380303,Yes,2024-09-05,Australia,73,Savings,1979.109166397912,GBP
DE7876438,Hotel,Accommodation,2773.8813591120856,No,2025-01-29,Germany,147,Savings,2238.6717191375305,INR
UK1362494,Tourist Attraction,Entertainment,5057.761806162612,Yes,2024-02-14,UK,16,Remote Job,4363.191238953633,EUR
IN6849151,Shop,Entertainment,835.5068560853996,No,2024-06-01,India,30,Pension,2846.0558711951403,EUR
UK7717628,Shop,Food,3832.131893615824,Yes,2024-12-09,UK,111,Remote Job,4431.186211780758,AUD
UK8244727,Shop,Entertainment,8286.035105959012,No,2024-05-07,UK,40,Savings,4402.384377025524,AUD
CN574054511,Tourist Attraction,Accommodation,2119.113143164433,No,2025-04-01,China,157,Remote Job,2563.618483849878,AUD
UK9420382,Tourist Attraction,Accommodation,5814.648063713595,Yes,2024-10-23,UK,128,Pension,4471.475323934477,GBP
P24596599,Tourist Attraction,Entertainment,9581.257954432496,No,2024-08-27,Australia,165,Pension,1241.7681692721194,AUD
P38846652,Hotel,Shopping,9188.840549451344,No,2024-11-18,Australia,40,Pension,4846.791167091418,EUR
UK6922440,Hotel,Shopping,2680.98809032731,No,2024-07-01,UK,43,Remote Job,3860.3660916179456,USD
DE9682448,Hotel,Accommodation,6248.828661775141,No,2024-03-28,Germany,118,Freelance,1016.820764226134,USD
USA9794912,Restaurant,Accommodation,859.5191899021992,Yes,2024-07-25,USA,28,Pension,4259.435904246143,EUR
UK5398741,Hotel,Shopping,2547.580417344944,No,2024-07-14,UK,29,Pension,4667.814025711597,AUD
CN201017297,Shop,Food,7088.404402877831,No,2025-01-19,China,111,Pension,4417.984918321474,GBP
USA8124962,Restaurant,Food,5026.850713581804,Yes,2024-12-27,USA,175,Freelance,1079.3660069309258,CNY
CN715021724,Restaurant,Food,2242.089949271034,No,2025-01-01,China,149,Freelance,4141.129061936888,USD
UK6081492,Tourist Attraction,Accommodation,764.9997910565041,Yes,2025-04-18,UK,6,Pension,3512.6785284978987,JPY
DE2119244,Tourist Attraction,Entertainment,5808.079505932825,No,2025-04-22,Germany,122,Pension,3128.552926538764,JPY
USA2571533,Hotel,Shopping,9973.377986370837,No,2024-01-01,USA,126,Pension,1138.310612155933,JPY
DE5498467,Shop,Shopping,2088.010737832476,Yes,2025-02-18,Germany,70,Savings,4413.370628063263,JPY
P21203544,Restaurant,Shopping,9832.219815012726,Yes,2024-04-20,Australia,49,Freelance,4036.213395701701,EUR
CN871776011,Tourist Attraction,Entertainment,3505.3616341715724,No,2025-02-12,China,139,Savings,2200.7254849015417,GBP
P33974092,Tourist Attraction,Shopping,500.17173129385344,Yes,2024-09-22,Japan,88,Remote Job,4027.315079922904,CNY
USA9922585,Shop,Shopping,4591.823591278198,No,2025-03-16,USA,165,Savings,4455.525197555937,USD
P83870396,Restaurant,Entertainment,7236.254021601678,Yes,2024-01-26,Japan,157,Remote Job,2363.1738760743847,EUR
P44158153,Hotel,Entertainment,7390.892980002402,No,2025-03-30,Australia,114,Savings,2580.914604068133,USD
DE0860318,Hotel,Food,8397.706969090792,No,2024-12-20,Germany,17,Savings,3187.5799302009577,USD
UK4176198,Shop,Entertainment,1401.6795510285554,Yes,2025-03-11,UK,87,Freelance,1999.850183358236,CNY
P61971039,Restaurant,Accommodation,9306.590512726949,Yes,2024-08-03,Australia,123,Freelance,2558.5731290933204,AUD
DE2920346,Shop,Entertainment,6763.802999592037,No,2024-12-18,Germany,26,Savings,1405.9434883356105,EUR
P61708406,Shop,Entertainment,2113.882193937563,Yes,2024-05-11,Australia,161,Freelance,3873.3852175895,INR
P74799889,Hotel,Accommodation,7063.66455618217,Yes,2025-03-25,Japan,169,Remote Job,3380.41416842391,CNY
UK8685456,Shop,Entertainment,4458.479908439429,No,2024-04-27,UK,21,Pension,2858.196610578449,USD
USA3679903,Shop,Accommodation,607.4493936451248,No,2024-09-13,USA,25,Remote Job,1770.1593518091695,EUR
CN597313119,Hotel,Shopping,8903.306612235237,Yes,2024-07-14,China,20,Savings,2968.281281590962,AUD
DE1401066,Tourist Attraction,Shopping,9055.278875337295,Yes,2024-06-05,Germany,59,Savings,4374.460148486694,JPY
P81603006,Tourist Attraction,Entertainment,5805.206981424161,No,2024-02-15,Australia,101,Savings,1396.956579992515,EUR
IN6823703,Shop,Shopping,6342.809882568613,No,2024-01-28,India,153,Savings,1725.9222516207851,INR
UK1560240,Restaurant,Accommodation,3490.773329231838,Yes,2024-11-30,UK,134,Savings,2972.337138316843,JPY
P72892753,Tourist Attraction,Food,7773.801670450608,Yes,2024-10-12,Australia,65,Savings,3898.488766698279,CNY
UK3675776,Shop,Shopping,6441.141760339572,Yes,2025-01-14,UK,160,Savings,4589.886801377191,JPY
DE7875577,Hotel,Entertainment,3695.3156257702617,No,2025-03-12,Germany,112,Pension,2978.448829906487,EUR
DE3836017,Restaurant,Accommodation,6131.229611801571,Yes,2024-01-16,Germany,8,Savings,1172.2145415698917,INR
CN154527036,Shop,Food,9793.451028619504,No,2024-11-22,China,101,Freelance,1539.6036165388389,CNY
P51026725,Hotel,Shopping,5392.657873797924,No,2024-02-22,Australia,15,Freelance,3509.570476931162,AUD
CN301950158,Tourist Attraction,Food,7213.99913717034,Yes,2024-10-27,China,155,Savings,4552.905441157778,EUR
DE9346597,Shop,Shopping,703.9391640755109,Yes,2024-05-15,Germany,25,Savings,2448.9835044929805,JPY
DE7351146,Tourist Attraction,Accommodation,5305.79098632606,Yes,2024-07-22,Germany,63,Freelance,1118.5970422363257,CNY
USA2703958,Shop,Food,4074.421437762461,No,2024-08-16,USA,39,Remote Job,1868.8200530951872,AUD
IN2326949,Shop,Shopping,9414.967697609669,Yes,2024-07-06,India,112,Pension,4388.637271126916,JPY
IN9453886,Tourist Attraction,Shopping,1625.9285768633183,No,2024-06-25,India,20,Savings,3266.3242882191366,JPY
CN809600165,Shop,Food,630.8843072988517,Yes,2024-02-01,China,156,Savings,4368.039099428876,GBP
CN074975840,Shop,Accommodation,1664.041415508376,No,2024-04-06,China,36,Pension,2490.1130312962423,EUR
P94158444,Restaurant,Food,5372.430996895509,Yes,2024-02-14,Japan,13,Freelance,4155.504519989764,JPY
P43969030,Hotel,Shopping,6861.84276503667,Yes,2024-05-20,Japan,125,Savings,1928.859124125871,INR
UK1317551,Restaurant,Accommodation,5931.341561578955,Yes,2024-11-21,UK,88,Freelance,1247.467494652763,AUD
DE0860318,Tourist Attraction,Entertainment,1934.6507024814944,Yes,2024-09-03,Germany,17,Savings,3187.5799302009577,USD
P37741863,Restaurant,Accommodation,7053.174241536031,Yes,2024-02-22,Japan,134,Pension,1404.1780601020782,USD
DE5673072,Hotel,Food,6997.386158867324,Yes,2024-02-09,Germany,159,Remote Job,4423.407000326091,CNY
IN7163347,Hotel,Food,6179.497689190036,No,2024-07-09,India,14,Freelance,4159.600297286628,INR
DE3170648,Hotel,Shopping,8159.448635703765,No,2024-03-20,Germany,130,Savings,4270.30223993009,JPY
UK4434606,Shop,Entertainment,5193.028688561831,No,2025-02-22,UK,177,Remote Job,1534.590201432777,INR
DE2877962,Tourist Attraction,Food,1239.3709588479392,No,2024-05-27,Germany,58,Remote Job,4060.391018055555,INR
P77766335,Hotel,Accommodation,8524.051552239014,Yes,2024-08-15,Australia,110,Savings,3205.4086524084278,INR
USA5232486,Restaurant,Shopping,1228.7236426622576,Yes,2024-04-15,USA,91,Savings,4610.08489987782,CNY
P77808215,Restaurant,Entertainment,5906.898145180992,Yes,2025-02-11,Australia,120,Pension,2993.11998919433,USD
DE7301140,Hotel,Entertainment,3130.624352724238,Yes,2024-08-01,Germany,110,Pension,2832.608317979628,AUD
USA2041748,Tourist Attraction,Shopping,8027.5942437923695,No,2024-11-10,USA,116,Remote Job,4343.550780449674,GBP
P60494531,Restaurant,Entertainment,6193.544050703776,Yes,2024-12-27,Australia,12,Remote Job,2226.4643827241293,CNY
P38146848,Hotel,Entertainment,8377.252991020341,Yes,2024-05-17,Australia,152,Savings,2280.637709445808,USD
UK9135475,Restaurant,Shopping,6074.256572429928,Yes,2025-03-27,UK,157,Pension,2488.6992754294206,AUD
P27891695,Hotel,Food,5310.415654174367,No,2024-03-02,Australia,49,Remote Job,1436.039471457633,USD
DE7278172,Restaurant,Entertainment,1175.501153482559,Yes,2025-03-03,Germany,89,Freelance,1476.3362995325883,EUR
USA5291427,Shop,Food,9135.238641559465,Yes,2024-08-10,USA,98,Freelance,3090.2211383907447,JPY
USA2243255,Hotel,Food,1865.7560973848883,No,2025-01-26,USA,133,Remote Job,4145.199845563988,GBP
DE6504935,Tourist Attraction,Entertainment,9160.534764874788,No,2025-01-20,Germany,118,Savings,1767.4127140742662,USD
UK7970123,Hotel,Accommodation,4345.388539760198,Yes,2024-05-16,UK,138,Freelance,2731.356573551894,JPY
P92341332,Tourist Attraction,Entertainment,3505.652359305884,No,2024-12-19,Japan,23,Pension,1699.2776816909943,JPY
UK0142662,Restaurant,Accommodation,8674.5712487794,Yes,2025-04-23,UK,48,Remote Job,2777.9407781747896,EUR
USA3694469,Hotel,Accommodation,5422.429907245457,Yes,2024-07-30,USA,50,Pension,3914.212885436326,JPY
IN2616234,Hotel,Entertainment,1429.8274724838216,No,2025-04-04,India,96,Pension,4373.709836816847,USD
IN3577669,Shop,Accommodation,4184.037626842583,Yes,2024-08-24,India,109,Savings,4721.100410172205,AUD
CN723559687,Hotel,Shopping,5521.561366077955,Yes,2024-03-13,China,102,Freelance,2110.3827286106216,CNY
P41275606,Restaurant,Accommodation,5787.366133577117,No,2024-05-22,Japan,7,Pension,1041.7047346479503,INR
CN028165420,Restaurant,Accommodation,6662.9890503612,No,2024-01-20,China,74,Pension,1501.073749898751,AUD
CN710323060,Hotel,Accommodation,2278.671129336627,Yes,2024-08-25,China,36,Savings,3550.1019290740965,CNY
UK0050381,Hotel,Accommodation,2567.228025640287,Yes,2024-04-22,UK,27,Savings,3870.63009996573,INR
USA2198709,Hotel,Accommodation,2961.719373416141,Yes,2025-03-18,USA,65,Savings,1799.0998741979138,USD
UK0434414,Hotel,Entertainment,7426.721716120525,No,2024-02-07,UK,75,Savings,1771.7369901531192,JPY
P03785130,Shop,Accommodation,6711.259307969095,Yes,2024-04-24,Japan,37,Remote Job,1878.7233146748404,EUR
CN343252414,Restaurant,Shopping,3669.731456098304,Yes,2024-01-12,China,93,Pension,3211.049514867389,JPY
IN8988058,Shop,Accommodation,7858.118869124883,Yes,2024-02-28,India,63,Savings,3088.313719994138,AUD
DE8004417,Shop,Food,8144.614750862265,Yes,2025-01-30,Germany,124,Pension,3811.170791041096,JPY
USA4434254,Tourist Attraction,Entertainment,9425.378913211009,No,2025-01-23,USA,37,Savings,2219.3088853339104,USD
IN3582271,Shop,Entertainment,3852.4046891991015,No,2024-04-18,India,47,Freelance,4191.522795248696,AUD
P26104194,Shop,Food,7372.0080053738275,Yes,2024-07-25,Japan,13,Remote Job,3314.1051560668934,AUD
CN751452500,Tourist Attraction,Accommodation,6936.498406609104,No,2024-07-20,China,132,Remote Job,4539.724687223031,AUD
IN3158905,Shop,Accommodation,4658.241270433712,No,2024-08-09,India,37,Remote Job,4236.231722270868,JPY
DE1358943,Hotel,Accommodation,3160.0581161094237,No,2024-06-12,Germany,64,Savings,3103.131809367047,CNY
IN6163311,Shop,Shopping,2106.56069114867,Yes,2025-03-05,India,34,Remote Job,1486.4825440888762,CNY
CN623244727,Tourist Attraction,Food,7472.8837439270255,No,2025-04-01,China,89,Savings,1860.1660817687891,AUD
CN244276350,Tourist Attraction,Food,5754.846034369103,No,2024-05-10,China,111,Pension,1683.629516412736,EUR
IN2990665,Tourist Attraction,Entertainment,6405.623558363098,No,2025-03-19,India,133,Savings,3764.460271970778,JPY
IN9294795,Restaurant,Food,2223.9091227820627,No,2024-10-27,India,145,Pension,1653.5931216982194,JPY
P76402377,Hotel,Accommodation,2064.592786199607,Yes,2024-03-21,Japan,179,Pension,3461.7624932667964,INR
CN563668871,Shop,Food,899.8026560989363,Yes,2025-04-26,China,84,Freelance,4082.6353794384977,USD
CN555046459,Shop,Food,4632.564468579114,No,2025-01-06,China,21,Pension,2429.120529381299,USD
IN4477655,Restaurant,Entertainment,7246.503017372859,Yes,2024-11-18,India,75,Remote Job,4529.349533452605,AUD
CN199457621,Hotel,Accommodation,8289.598651700187,Yes,2024-10-29,China,76,Freelance,4531.1079564545,JPY
UK1735455,Tourist Attraction,Food,9529.413159593065,No,2024-08-28,UK,111,Freelance,1879.770816848025,GBP
P81583690,Shop,Entertainment,5500.880778320368,No,2024-01-29,Japan,69,Pension,1549.346120723967,EUR
P27249784,Hotel,Entertainment,6388.740051943849,Yes,2025-03-26,Australia,11,Savings,2537.7957902058142,GBP
DE2877962,Hotel,Entertainment,9533.020543894938,No,2024-05-18,Germany,58,Remote Job,4060.391018055555,INR
CN862548516,Tourist Attraction,Accommodation,2697.597349440619,No,2024-11-06,China,177,Savings,1569.5539130783031,USD
USA7845010,Tourist Attraction,Food,3291.50167955871,Yes,2025-01-21,USA,91,Freelance,3287.114086255971,AUD
P36566529,Shop,Accommodation,3291.4202524136986,No,2025-03-14,Japan,24,Freelance,3786.7287116405823,INR
CN204251835,Restaurant,Shopping,1397.7521683592556,Yes,2025-01-07,China,10,Pension,3111.086909701208,GBP
DE2769196,Tourist Attraction,Entertainment,2396.887362107293,Yes,2024-05-15,Germany,48,Savings,3931.151275530747,USD
P17802249,Shop,Accommodation,2303.330257929801,Yes,2024-10-09,Japan,37,Remote Job,4182.760874318942,GBP
CN587104332,Shop,Accommodation,612.069911631251,No,2024-04-17,China,47,Pension,1048.6844422094262,INR
UK0691639,Hotel,Accommodation,9828.928250229685,No,2024-03-26,UK,120,Freelance,1795.982100720204,GBP
USA8008923,Shop,Entertainment,6952.558730902523,Yes,2024-09-05,USA,23,Savings,1830.91447388907,INR
IN7304259,Restaurant,Shopping,2615.7404168825783,No,2025-04-24,India,97,Remote Job,1714.3058687895295,GBP
P85642706,Hotel,Accommodation,5050.018099933815,No,2024-04-24,Australia,108,Freelance,4681.978156736384,JPY
CN697994797,Tourist Attraction,Food,4300.204823552766,Yes,2024-06-03,China,176,Remote Job,3279.545213016491,EUR
P43737407,Shop,Shopping,9143.680544499224,No,2024-05-14,Australia,122,Savings,2417.444173093905,AUD
USA7754507,Restaurant,Accommodation,2273.421293711084,Yes,2024-04-15,USA,15,Remote Job,2966.8556680939782,INR
DE9368174,Hotel,Accommodation,7556.464640970018,No,2024-02-20,Germany,146,Remote Job,3160.3164641217545,JPY
CN809600165,Tourist Attraction,Entertainment,9355.40326662628,No,2024-10-14,China,156,Savings,4368.039099428876,GBP
CN065371671,Tourist Attraction,Accommodation,9699.523950899034,Yes,2024-06-09,China,30,Remote Job,4336.459371235926,JPY
UK8247119,Hotel,Accommodation,8954.543616112433,Yes,2024-03-13,UK,179,Pension,4757.741548607606,EUR
UK9905265,Restaurant,Food,9724.369695762773,Yes,2024-02-29,UK,148,Savings,2126.7005415215,INR
IN2109621,Shop,Entertainment,6150.102483537303,No,2024-12-07,India,170,Remote Job,2002.7640718323512,EUR
DE1841272,Hotel,Food,8145.943220576178,No,2024-06-30,Germany,64,Pension,2798.4255459155875,CNY
USA4443711,Shop,Entertainment,8653.92056911325,Yes,2024-12-06,USA,105,Freelance,3301.810577222904,JPY
P24596599,Restaurant,Shopping,8839.597065903305,Yes,2024-07-11,Australia,165,Pension,1241.7681692721194,AUD
UK0644109,Hotel,Food,7308.305795591556,No,2024-11-05,UK,12,Pension,4866.524237992937,GBP
USA4759551,Restaurant,Accommodation,9178.323294726044,Yes,2024-09-01,USA,34,Freelance,1443.431150948188,USD
DE5673072,Shop,Entertainment,5055.915090365225,Yes,2024-01-28,Germany,159,Remote Job,4423.407000326091,CNY
UK5417845,Shop,Shopping,5722.986146672946,No,2024-07-06,UK,97,Savings,1160.5030619129918,CNY
P43840133,Shop,Entertainment,679.4236868511006,No,2024-04-15,Japan,160,Savings,1905.9534015872548,GBP
UK6081492,Restaurant,Accommodation,4520.760881301006,No,2025-02-05,UK,6,Pension,3512.6785284978987,JPY
DE6509234,Restaurant,Accommodation,6919.996590118717,Yes,2024-05-27,Germany,52,Pension,4683.8127995207215,JPY
UK3675776,Shop,Food,5219.5536269659,Yes,2024-12-22,UK,160,Savings,4589.886801377191,JPY
DE8074740,Hotel,Accommodation,9649.35329282982,No,2025-02-07,Germany,171,Freelance,2820.95156760151,JPY
IN9294795,Restaurant,Accommodation,8130.484995951842,No,2024-02-15,India,145,Pension,1653.5931216982194,JPY
P60494531,Shop,Accommodation,3330.542407313974,No,2024-03-25,Australia,12,Remote Job,2226.4643827241293,CNY
UK4143085,Hotel,Entertainment,3816.083894148916,Yes,2025-02-03,UK,63,Savings,2629.451270094174,EUR
CN160568860,Hotel,Food,3014.1897086183485,Yes,2024-04-14,China,19,Remote Job,1134.132244921251,INR
IN5641316,Tourist Attraction,Accommodation,5545.727318903213,Yes,2024-01-01,India,72,Pension,3277.5219192826544,EUR
CN591468286,Tourist Attraction,Food,7428.940560073091,No,2025-04-10,China,180,Freelance,3983.8774999071056,INR
